	一些前言	\nPS1：请于【】处添加角色与画风的tag描述；若无，请直接添加于tag组前\nPS2：请注意，本法典早期大部分tag以Nai3模型为基础测试整理，目前已转为Nai4.5测试。理论Nai系列与其他AI模型如Noob等模型通用。（其他模型应用请自行转换权重）\nPS3：标有字底颜色为此次更新增添的tag，字号较小的为附注内容\nPS4：若分类中的tag寻找不到，请活用WPS或其他软件自带的CTRL+F快捷键进行快速检索\nPS5：本法典一般于每月下旬或特殊日期（生日、节日等）更新，且保持月更，可据此判断本所长法典是否为最新版本。\nPS6：本法典为无偿免费分享，由一般所长整理编纂，tag多来源于解构原典群与其他群群友，在此对tag提供者提出感谢。\nPS7:若对法典收集tag存在疑问或者错误反馈，可以通过QQ：2319231932或2213681558（小号）联系一般所长，添加好友时请备注缘由。\nPS8：此外，于此特别感谢御堂/神宫寺、KKO、泡面、七号、别里磕夫这几位群友在tag整理上的协助支持，帮我解决了很多费时费力的基础工作，再次感谢\nPS9：当各位看到这一条的时候，证明所长法典今日（2025.12.29）已经两岁啦！再次感谢在编辑法典中提供助力的各位，提供Tag的各位，以及谋面或者素未谋面的使用这本法典的各位！希望我们还能在法典三岁见面！
情感动作	餐厅桌上睡觉	\n{{upper body}},{male view},front view,shoujo figure,{thin figure},eyes closed,open mouth,sleeping,blush,female sitting on chair,hands on table,clothed female,head on table,skirt,normal background,table,restaurant background,light,sensitive,wood table focus,female speech bubble,text:“zzz”,
情感动作	害羞指间偷看	\n@_@,blush,constricted pupils,covering face.embarrassed,furrowed brow,hands on own face,hands up,head tilt,heart,looking at viewer,nervous sweating,nose blush,open mouth,peeking through fingers,upper body,wide-eyed,
情感动作	铁板桥（推荐横图，不稳定）	\nnude,squitting,tiptoes,spread legs,leaning back,no shoes,bare feet,from side,handstand,
情感动作	吃火锅红温	\nwarm-toned,restaurant,hotpot,chili pepper,bowl,plate,cup,meal,chili oil,tears,looking at viewer,wavy mouth,smile,v-shaped eyebrows,full-face blush,flying sweatdrops,head steam,spicy,thumbs up,trembling,holding chopsticks,off-shoulder shirt,frills,
情感动作	撅嘴夹笔放松（不稳定，一般是叼笔）	\nwhite shirt,short sleeves,pleated skirt,nipple slip,collarbone,nipples,no bra,downblouse,front view,from above,looking at viewer,pout,closed mouth,sitting on chair,head rest,leaning foward,{{pencil as mustache,pen on mouth}},indoors,book,chair,desk,notebook,
情感动作	比v自拍	\nparted lips,v sign,hand on mouth,selfie,close up,wariza,
情感动作	楼顶倚栏抽烟	\n{{city}},{{night}},{{rooftop}},{{from behind}},{{city lights}},{{full body view}},{{contemplative atmosphere}},{{melancholy}},nsfw\n{{office lady}},{{shachiku}},human,{{business suit}},{{white shirt}},{{black skirt}},{{disheveled clothing}},{{tired expression}},{{barefeet}},{{leaning against railing}},{{smoking}},{{looking at city}},
情感动作	抱腿侧躺	\nfrom above,blush,on bed,bare arms,hugging own legs,lying,on side,
情感动作	原版服装	\nwhite socks,pom pom (clothes),pom pom hair ornament,hairclip,black bow,blue nails,frilled thigh strap,sleeveless dress,polka dot,grey dress,bare shoulders,frilled socks,grey skirt,plaid dress,frilled dress,sleeveless shirt,no shoes,white footwear,center frills,black dress,
情感动作	病娇颜	\n{{yandere trance}},close-up,steam,hands on own cheeks,blush,shy,saliva,saliva trail,crazy smile,crazy eyes,half closed eyes,glowing eye,heart-shaped pupils,{{{purple light,indoors,purple screen,backlighting,purple theme}}},shoulder,clavicle,looking at viewer,parted lips,
情感动作	开门见人	\n2girls,closed mouth,smile,nose blush,standing,asymmetrical docking,indoors,pov doorway,pov hands,opening door,
情感动作	熔岩洗浴	\n1girl,{volcano,molten rock,magma,lava,vent},nude,steam,closed mouth,partially submerged,sweat,on hill,nose blush,fire,day,bang,cleavage,sweat,
情感动作	心虚恐惧仰望	\nexpressionless,slovenly,messy clothes,upper body,sweatdrop,sitting,nervous sweating,nervous,nervous smile,looking up,open mouth,crying with eyes open,tearing up,
情感动作	冥想	\nbandaged head,taoist robe,dragon print,full shot,meditation,indian style,closed eyes,head steam,
情感动作	掐脸	\nlooking at viewer,blush,closed mouth,upper body,solo focus,pov,nose blush,out of frame,pov hands,hand on another’s face,hand on another’s chin,:i,cheek squash,
情感动作	冷面	\nmonochrome,grayscale,blur,spot color,color difference,flowers,depth of field,limited palette,shadow,half closed eyes,upper body,open mouth,raised hand,looking down,sharp nails,portrait,long nails,looking at viewer,closed mouth,black nails,androgynous,expressionless,colored skin,mixed,long sleeves,ruffles,fur trim,
情感动作	暗中物色	\nsexually flirtatious glance,looking at viewer,portrait,sitting,shadow,girl in dark,perfect anatomy,{{a dark environment}},{shaded face},monochrome,
情感动作	暗中伸手	\ndirty face,outstretched hand,foreshortening,upper body,dark,dark background,from above,depth of field,faux traditional media,painterly,impressionism,photo background,
情感动作	小惊慌	\n[[blush]],flustered,shy,open mouth,looking at viewer,head tilt,flying sweatdrops,upper body,
情感动作	头朝下滑滑梯	\non stomach,lying,{breast press},open mouth,slide,slide down the slide in a head-first position,
情感动作	脚滑打翻拼好饭	\n{{leaning forward,close-up,hand focus}},falling,porridge on bowl,bowl on ground,crying,sadness,foreshortening,outstretched arms,motion blur,motion lines,from below,standing on one leg,floating bowl,broken bowl,=_=,open mouth,blurry foreground,
情感动作	摔倒打翻疯狂星期四	\nburger,spill,food,french fries,blush,open mouth,fallen down,tears,ahoge,yellow sleeves,crying with eyes open,green bowtie,tearing up,on floor,on stomach,lying,cheese,disposable cup,
情感动作	坠落	\nsky,cloud,letterboxed,scenery,outdoors,lens flare,dress,sun,falling,sunrise,upside-down,star (sky),blue sky,skirt,sunset,above clouds,sunlight,
情感动作	荡秋千荡飞惊慌	\nlooking at viewer,blush,open mouth,long sleeves,sitting,school uniform,standing,pleated skirt,boots,outdoors,sky,indoors,tears,chibi,black footwear,uniform,plaid,from above,plaid skirt,chair,bound,wavy mouth,crying,looking up,blue jacket,rope,hair flaps,clenched hands,tearing up,@_@,scared,swing,noose,
情感动作	悲伤是水做的	\nlooking at viewer,shirt,closed mouth,school uniform,collarbone,upper body,serafuku,tears,sailor collar,blurry,neckerchief,floating hair,half-closed eyes,crying,portrait,red neckerchief,black sailor collar,crying with eyes open,black serafuku,water drop,sad,
情感动作	灾难救援	\nruin,earthquake,smog,rainy,\nchar1：{people’s liberation army,military uniform,combat helmet},closed eyes,hugging,\nchar2：boy,child,torn clothes,crying,
情感动作	便当女仆	\nmaid,maid headdress,maid apron,holding umbrella,bento,rain,looking at viewer,
情感动作	卡牌决斗开始	\nlooking at viewer,long sleeves,gloves,jacket,upper body,parted lips,white jacket,duel disk,
情感动作	消散告别	\nlooking at viewer,sunrise,backlighting,leaning back,turning around,waving,goodbye,hand up,parted lips,sad smile,half-closed eyes,tearing up,rooftop,{{{dissolving}}},{{fading}},see-through body,chiaroscuro,open hand,white sundress,
情感动作	手持遗像	\nindoors,wooden floor,black kimono,white sash,tabi,geta,streaming tears,looking down,holding picture frame,
情感动作	看小黄书春心萌动	\nblush,book,{{covered mouth}},{{covering face}},looking at viewer,open book,pornography,{{{{portrait}}}},straight-on,:d,advanced nurturing high school uniform,blue bow,blue bowtie,blazer,blue bow,blush,collared shirt,dress shirt,long sleeves,looking at viewer,red jacket,school uniform,smile,white shirt,wing collar,full-face blush,steaming body,head steam,see-through shirt,black bra visible through clothes,sitting,deeply affectionate,heart image,spoken heart,
情感动作	刚睡醒	\npillow hug,?,standing,half-closed eyes,rubbing eye,one eye closed,
情感动作	女仆行礼	\nv arms,hand covering hand,closed eyes,head down,leaning forward,
情感动作	面前烟花	\nholding fireworks,night,upper body,dark theme,straight on,warm lighting,blurry,film grain,
情感动作	情人节巧克力制作	\n:q,black dress,blush,bowl,chocolate,closed mouth,dress,frilled apron,frilled hairband,hair bow,hand up,happy valentine,heart,holding bowl,holding whisk,mixing bowl,red bow,smile,three-quarter sleeves,tongue out,upper body,valentine,whisk,white apron,white hairband,
情感动作	蜷缩	\n{{fetal position}},no shoes,closed eyes,{plantar flexion},{{from above}},on side,
情感动作	傲娇喂食巧克力	\n{unhappy,:t},{incoming food,holding chocolate},{bent over},
情感动作	手持亲吻请求	\nfront view,close up,upper body,school uniform,hold the sign,holding sign,write on the sign,text:“kiss me”,shy,looking away,covered mouth,
情感动作	热情欢迎	\nforeshortening,full body,smile,open mouth,:d,knees together feet apart,soles,feet,toes,reaching towards viewer,outstretched arm,outstretched hand,looking at viewer,picture frame,floating hair,
情感动作	眼部重击“黑眼圈”	黑眼圈””\nclose-up,looking at viewer,{{bruised eye}},very awa,
情感动作	雨落神伤	\nlooking up,rain,heavy rain,looking up,emotionless,{{{high angle,perspective,face focus}}},{{from above,from side}},grey background,empty eyes,defeated look,{{limited palette,partially colored,monochrome background}}{{wet hair,wet clothes}},messy hair,
情感动作	其他版本1	\nmonochrome,1girl,glowing,night,outdoors,rain,solo,wet,wet clothes,wet face,bags under eyes,glitch,wet hair,overcast,open mouth,teeth,shaft look,from side,head back,atmospheric perspective,despair,building,fog,cocked eyebrow,chiaroscuro,crazy eyes,head tilt,looking at viewer,neck,ringed eyes,tears,wide-eyed,
情感动作	手持春联	\nchinese new year,holding antithetical couplet,chinese clothes,pom pom (clothes),photo background,blurry background,cowboy shot,
情感动作	小猫哈气	\ncleavage,cat panties,all fours,cat posture,frontal perspective,indoors,looking at viewer,upside-down,open mouth,sharp teeth,claw post,v-shaped eyebrows,
情感动作	其他版本1	\nfang out,angry,scowl,open mouth,shaded face,messy hair,buck teeth,ears down,shouting,fury,rage,hair bristled,all fours,tail up,butt up,
情感动作	其他版本2	\nshaded face,open eyes,open mouth,tsurime,angry,constricted pupils,stretching,top-down bottom-up,cat girl,cat stretch,cat ears,full body,
情感动作	其他版本3	\nnejikirio,chibi,1girl,solo,nose blush,ears down,all fours,open mouth,angry,anger vein,hissing,choker,tail raised,trembling,bedroom,on bed,
情感动作	其他版本4	\nchibi only,looking at viewer,all fours,scream,scream,motion lines,white background,motion lines,
情感动作	其他版本5	\ncat girl,cat sitting,shoutting,freak out,three quarter view,close up,from below,the girl occupies the entire screen,close eyes,cat hissing,>_<,
情感动作	审视	\n:t,dress,hands on own hip,leaning forward,half-closed one eye,side slit,
情感动作	顶书单腿站立平衡木	\nbalancing,closed eyes,solo,standing on one leg,v-shaped eyebrows,eyelashes,barefoot,object on head,collarbone,outstretched arms,white shirt,foot out of frame,closed mouth,blush,book,toes,frown,motion lines,short sleeves,facing viewer,spread arms,leg up,furrowed brow,bare legs,borrowed clothes,straight-on,oversized clothes,dot nose,open hands,
情感动作	害羞牵发遮脸	\nheart,bookshelf,upper body,holding hair,indoors,night,long sleeves,book,letterboxed,covering own mouth,full face blush,looking away,
情感动作	拉扯下摆	\nfrom above,:d,embarrassed,full-face blush,looking down,no pants,open mouth,long shirt,shirt tug,short sleeves,smile,standing,pink background,white thighhighs,clothes cover underwear,
情感动作	舞蹈	\nbarefoot,white sweater,bare back,sideboob,cleavage,pole dance,arched back,chest out,tilt head backward,
情感动作	猫猫伸懒腰	\noutstretched arms,top-down bottom-up,ass,pink panties,heart,open mouth,hair ribbon,stretching,ribbon,hairclip,blush,pink shirt,camisole,bare shoulders,
情感动作	第一人称嘴刁pocky邀请	\ndutch angle,from above,foreshortening,pov,1girl,face focus,close shot,blush,collarbone,smug,blurry,standing,shared pocky,closed eyes,full-face blush,lift up,arms behind back,
情感动作	情人节夜晚礼物	\nlooking at viewer,red scarf,outdoors,hairclip,plaid scarf,smile,blush,blurry background,school bag,school uniform,enpera,long sleeves,valentine,incoming gift,night,closed mouth,bag charm,charm (object),black coat,pleated skirt,holding gift,gift box,plaid skirt,open clothes,red necktie,white sweater,blazer,open coat,upper body,black skirt,standing,hand up,fringe trim,blurry,from side,bokeh,depth of field,
情感动作	做饭前收拾头发	\narms up,black apron,blush,drone,hair tie in mouth,indoors,kitchen,ladle,looking at viewer,mouth hold,short shorts,short sleeves,tying hair,white shirt,
情感动作	饮用饮料提神（特别声明，本tag未收到任何广告，只是魔爪出起来方便）	\n{{bags under eyes}},jitome,tired,close-up,holding monster energy,tin cans,
情感动作	斯拉夫蹲	\nasian squat,drunk,holding vodka bottle,black adidas tracksuit,squatting,pants,hand on knee,grin,
情感动作	多角度比心【插入q版人物：chibi inset,】	\nmultiple views,chibi inset,one eye closed,heart,heart hands,looking at viewer,smile,star (symbol),v,open mouth,
情感动作	女仆嘱咐	\nblack dress,blush,downblouse,enmaided,from above,hand on hip,heart,looking at viewer,maid,maid apron,maid headdress,open mouth,pov,puffy sleeves,scrunchie,shirt grab,short sleeves,solo focus,sweat,waist apron,
情感动作	点烟	\nupper body,holding lighter,cigarette in mouth,both hands near the mouth,lighting up,looking at viewer,smile,
情感动作	抱着抱枕	\nnegligee,pajama,frilled,on bed,lying on side,hugging pillow,breast press,between legs,looking at viewer,blush,from above,steaming body,heavy breath,shiny skin,
情感动作	哀哭	\nface focus,close-up,blood,crying with eyes open,hands on own face,looking at viewer,open mouth,tears,torn clothes,
情感动作	雨泪俱下	\nschool uniform,upper body,head up,rain,dark grey theme,crying,hair over eyes,standing,crowd,city,
情感动作	街头打招呼	\nopen hand,waving,looking at viewer,light blush,light smile,cowboy shot,day,standing,sidewalk background,pov,close-up,
情感动作	敲架子鼓	\nplaying drum,holding drumsticks,drum set,
情感动作	压住被风吹起的裙子	\n{full body},white long dress,flowing hair,white thighhighs,closed mouth,lipstick,>_<,:<,closed eyes,day,street background,light blush,close-up,pov,cowboy shot,hands between legs,{{{dress tug}}},
情感动作	刚睡醒的懒散【注：怀民亦未寝meme：limmy waking up (meme),】	\nportrait,1girl,bed sheet,blush,half-closed eyes,indoors,messy hair,pillow,stuffed animal,stuffed rabbit,stuffed toy,teddy bear,backlighting,waking up,
情感动作	踢门而入	\nshiny skin,arrogant girl,kicking down door,torn jeans,leather jacket,boots,angry,foot up,opening door,feet focus,fisheye,motion lines,motion blur,
情感动作	拉开外套胸部弹出	\ncowboy shot,{{{{{zipping,bouncing breasts,unzipping,clothes tug}}}}},{{{steaming body}}},black jacket,{turtleneck sweater},long sleeves,black pantyhose,looking down,closed mouth,{blush},
情感动作	节日庆贺	\nhappy,jumping,one hand up,holding a party popper,excited expression,dynamic pose,festive atmosphere,confetti,streamers,celebratory,\nv间笑容\nv over mouth,tongue,closed mouth,smug,half-closed eyes,
情感动作	蛋包饭比心	\nbookshelf,plate,heart,{{{heart hands}}},book,ketchup,looking at viewer,omelet,upper body,indoors,
情感动作	女仆调情	\ncowboy shot,maid suit,white apron,long skirt,maid cap,curtained hair,light smile,finger to mouth,one head on back,one eye closed,white gloves,black legwear,indoor,blurry background,from behind,lift dress,looking back,looking at viewer,
情感动作	向深处潜水	\n{{{{from below,face focus,upside-down,handstand,see-through}}}},white bikini,{{{pout}}},underwater,
情感动作	举手接引	\nfrom above,hand focus,arms up,closed eyes,closed mouth,outstretched arms,reaching,reaching towards viewer,expressionless,
情感动作	害羞抓头发	\nopen mouth,holding hair,nose blush,sweat,hands up,full-face blush,wavy mouth,portrait,bare shoulders,ear blush,
情感动作	揪脸	\nupper body,cheek pinching,one eye closed,open mouth,wavy mouth,tearing up,flying sweatdrops,pov hand,
情感动作	手指撑起微笑（需roll）	\nexpressionless,upper body,closed mouth,looking at viewer,finger on own face,depth of field,hands up,pointing at self,smile,
情感动作	递烟	\nfrom above,{{{{{smoking,cigarette in mouth,holding cigarette pack}}}}},frown,looking at viewer,half-closed eyes,{{{empty eyes,expressionless}}},outstretched arms,{{{{{{unlit cigarette,holding cigarette,giving cigarette,incoming cigarette}}}}}},
情感动作	遗恨	\nashes,backlighting,broken,crying,crying with eyes open,depth of field,from side,furrowed brow,head down,looking down,open mouth,profile,sad,shaded face,streaming tears,tears,torn clothes,
情感动作	无力	\nfrom below,{kneeling},expressionless,sad,{single off shoulder,torn clothes},{{crying,tears}},blood,{looking down},{{blood on hair,blood flowing}},indoors,ruins,leaning forward,arm support,bent over,
情感动作	不甘	\nglowing eyes,hair pulled back,stare,expressionless,clenched teeth,narrowed eyes,looking down,
情感动作	嫌弃	\nclose-up,white pants,looking at viewer,long sleeves,turtleneck sweater,black belt,sleeves past wrists,black sweater,cropped legs,shaded face,blush,scowl,rectangular mouth,crossed arms,
情感动作	短暂晕眩	\n{{portrait,bags under eyes}},looking down,half-closed eyes,expressionless,shade face,hand on own forehead,headache,parted lips,{{{{blood from mouth,bleeding}}}},
情感动作	镜中自卑	\nchiaroscuro,from above,{{{{huge mirror,perspective,mirror image}}}},red glasses,looking down,head down,hair over eyes,eyes visible through hair,dark blue school uniform,black pantyhose,red highlights,shadow,sad,tired,hand on own chest,shadow face,standing,long braid,
情感动作	惊哭	\n{{jaw drop,wavy mouth,wavy eyes,o_o,teardrop,streaming tears}},constricted pupils,scared,
情感动作	雌小鬼1	\n{{evil smile,half-closed eyes,smirk,smug}},
情感动作	雌小鬼2	\nindoor,smug,hand on mouth,smiley face,:d,close-up,arm up,
情感动作	雌小鬼3	\n:d,smug,half-closed eyes,hand on own face,open mouth,
情感动作	委屈受气	\nangry,annoyed,v-shaped eyebrows,blush,clenched teeth,crying,pout,trembling,crying with eyes open,tearing up,looking at viewer,
情感动作	撩起前发（概率）	\nforehead,hands up,hand on forehead,{{lift hair}},face focus,head up,parted lips,
情感动作	玩味注视	\nvictory pose,stroking own chin,leaning forward,head tilt,head rest,looking at viewer,half-closed eyes,
情感动作	赌气	\n{upper body},leaning forward,hand on table,arm support,angry,pout,face the viewer,
情感动作	网上开喷（你说这把是不是你打的有问题？）	\nreading a laptop,spoken question mark,v-shaped eyebrows,angry,open mouth,from side,sitting,on table,chair,open mouth,teeth,anger vein,shaded face,
情感动作	冬日暖脸meme	\n{{pov cheek warming (meme)}},blurry background,blurry foreground,blush,christmas,city lights,upper body,earrings,floating earring,fur-trimmed coat,fur trim,hair behind ear,light particles,looking at viewer,open clothes,open coat,outdoors,parted lips,pink coat,pov,red scarf,ribbed sweater,scarf,snow on head,snowing,white sweater,outstretched arms,hand out of frame,smile,blush,
情感动作	德意志军礼/嘿，希特勒！（可能冒犯部分人群警告）	\nstraight-arm salute,nazi,military uniform,{{swastika flag}},outstretched arm,standing,serious,military hat,arm up,
情感动作	愤怒开火	\nannoyed,anger vein,bags under eyes,angry,clenched teeth,v-shaped eyebrows,military uniform,trench coat,long sleeves,gloves,holding gun,finger on trigger,aimed with assaultrifle,upper body,
情感动作	惊恐	\nbent over,breath,constricted pupils,gloom (expression),horror (theme),leaning forward,motion lines,open mouth,raised eyebrows,scared,shaded face,sweat,
情感动作	惊恐坐地	\nwide-eyed,crying with eyes open,shaded face,scared,looking at viewer,dark room,arm support,sitting,leaning back,constricted pupils,cowboy shot,
情感动作	撩发	\n{{shiny skin,wet skin}},{backlighting},head down,close-up,arms up,forehead,half closed eyes,sweat,
情感动作	嗜血容貌	\nclose-up,eye reflection,water-shaped eye,+ +,light leaks,shine on girl’s body,blurry foreground,ray tracing,lens flare,cinematic lighting,evil smile,{{blood on eyes,blood from mouth}},blood,glowing eyes,teeth,
情感动作	慵懒侧坐	\nlooking back,sideways glance,sitting,leaning back,legs together,arm support,from behind,reaching out one leg,
情感动作	凭窗听雨	\nfrom above,from side,curtain,window,against wall,looking to the side,bare arms,one eye closed,hand to mouth,white bloomers,black footwear,blue jacket,collared shirt,floating hair,hugging own legs,knees up,bare arms,jacket on shoulders,white dress,white shirt,white socks,head tilt,rain,backlight,dusk,indoor,
情感动作	躺在床上，抱着双腿	\nlooking at viewer,head tilt,on back,hugging own legs,legs up,feet up,feet focus,
情感动作	礼服诱惑	\nhair flower,earrings,black choker,large breasts,full body focus,lingerie,{{{heels,feather boa}}},lying seductively,fisheye,dutch angle,{seductive smile,come-hither look},lace details,glimmer,eyeshadow,covering half face,dangling earrings,bracelet,strapless,long gloves,ring,hair accessory,red rose,red lips,pale complexion,bare legs,dynamic pose,
情感动作	偶像指向	\npointing at viewer,single finger gun,grin,standing,one eye closed,hand on own hip,
情感动作	抱自己尾巴	\nclose-up,lying,tail hug,looking at viewer,pillow,white dress,pink flower,blush,no shoes,on side,tail between legs,frilled socks,bow,bridal garter,closed mouth,bed sheet,parted lips,
情感动作	伏桌侧视，若有所思	\nschool uniform,sweater,classroom,table,sitting,crossed arms,head rest,head tilt,head down,from side,
情感动作	上班/上学要迟到了	\nneck ribbon,white shirt,collared shirt,black skirt,black vest,armband,pencil skirt,brown pantyhose,toast,mouth hold,shoulder bag,running,floating hair,looking ahead,v-shaped eyebrows,{{speed lines}},
情感动作	条纹服装卖萌	\none eye closed,open mouth,detached sleeves,cleavage,striped thighhighs,{striped sweater},on stomach,one foot up,arm under breasts,
情感动作	小学生吓人	\ngarter straps,bag,trembling,backpack,open mouth,looking at viewer,long sleeves,squatting,white shirt,claw pose,black footwear,red ribbon,sweat,black thighhighs,black dress,neck ribbon,
情感动作	泳装扎辫子	\nswimsuit,competition swimsuit,one-piece swimsuit,mouth hold,upper body,sideboob,arms up,armpits,tying hair,hair tie in mouth,ponytail,blush,heart hair ornament,from side,
情感动作	酒吧饮酒	\ndress shirt,dress bow,holding chalice,bar,desk,crowd,at night,
情感动作	复杂版	\nhead down,crossed legs,hand on face,sitting,looking at viewer,bar,nsfw,steam,bottles,yellow liquids,ice,lots of bottles,{{darkness}},night,shelves,{{red light,light particles}},green light,
情感动作	醉的可爱	\n:d,>_<,alcohol,drunk,nose blush,smile,xd,can,
情感动作	独饮	\nearrings,sleeveless dress,bare shoulders,black choker,black dress,black gloves,cleavage,holding champagne flute,alcohol,bar (place),closed mouth,drink,frown,hand on own chin,head rest,liquor,looking away,upper body,from side,crowd,
情感动作	晚会醉倒	\nblack pantyhose,high heels,evening gown,black gown,dress bow,banquet,indoor,chalice,alcohol,shy,blush,drunk,lying,focus foot,at night,from below,depth of field,
情感动作	微醺调情	\nalcohol,blurry foreground,close-up,cup,desk,earrings,green nails,head on hand,holding cup,ice,jewelry,lips,long hair,long sleeves,looking at viewer,one eye closed,smile,whiskey,
情感动作	聚餐醉酒	\nclose-up,drooling,drunk,beer,blue dress,blurry background,blush,earrings,food,holding cup,indoors,jacket on shoulders,looking at viewer,necklace,open mouth,restaurant,sitting,sleeveless dress,smile,white jacket,wristwatch,full-face blush,
情感动作	醉酒开门	\nagainst wall,alcohol,{{steaming body,sweat}},full-face blush,half-closed eyes,collared shirt,drooling,drunk,furrowed brow,holding bottle,indoors,looking at viewer,mouth drool,naked shirt,open door,open mouth,oversized clothes,partially unbuttoned,saliva,smile,upper teeth only,wet clothes,white shirt,see-through,open shirt,
情感动作	浮空祈祷	\nfly on sky,closed eyes,hands together,serious,head down,full body,from below,straight-on,
情感动作	求援	\nbandaged arm,bandages covered eye,black gloves,black thighhighs,blue dress,sleeveless,hair ribbon,white ribbon,torn clothes,cloudy sky,crying with eyes open,falling feathers,white feathers,floating hair,injury,kneeling,lace-trimmed dress,looking at hand,looking at viewer,outstretched hand,parted lips,reflection,reflective water,ripples,scratches,translucent,water,from above,out of frame,
情感动作	被殴打脸	\ncowboy shot,teeth,pov,pov hands,on stomach,raised fist,nosebleed,blood on face,solo focus,bruise on face,ahoge,crying,
情感动作	拉伸抽筋（表情诡异警告）	\norgasm,fucked silly,stretching,yoga clothes,love heart,trembling,ahegao,rolling eyes,
情感动作	第一人称面对面下棋	\nboard game,checkers piece,chess,chess piece,chessboard,head rest,interlocked fingers,jewelry,looking at viewer,milk carton,movie poster,pop tab,smile,upper body,wavy mouth,
情感动作	蛋糕喂食（实际上比较随机，主要还是学生妹百合亲密接触）	\n2girls,barefoot,bite mark,black bra,black dress,black skirt,blood,blush,cake,fork,open mouth,fang out,hand on another’s waist,indoors,knife,looking at another,partially unbuttoned,plaid skirt,plate,pleated skirt,school bag,school uniform,sitting,sitting on person,sleeves rolled up,smile,white shirt,yuri,
情感动作	怀中品尝小零食	\n{{{hug,legs together,sitting on another,sitting on a man lap,male sitting from behind,sitting,front view}}},{{{long ribbon,black ribbon,sidelight,arms at the side}}},indoors,skinny,{{{{caramel pudding onesie}}}},[slumber party setup],{{{raspberry ankle socks}}}},stuffed animal avalanche,popcorn bowl tilt,nail polish river,fuzzy rug texture,glow-in-dark stars,
情感动作	微醺洞房夜	\nhead tilt,lying on back,white wedding dress,wedding ring,see-through clothes,breast curtains,white garter straps,thighhighs,latex leotard,belt,bare shoulders,bare arms,bedroom,candle,candlestick,night,wine bottle,tables,stools,smile,sheet,full-face blush,half-closed eyes,white veil,hand on own stomach,
情感动作	伸向流星	\nstarry sky,shooting star,1girl,black dress,short sleeves,night,white socks,black footwear,open mouth,sitting,smile,arm up,night sky,upper teeth only,outdoors,looking up,silhouette,
情感动作	床上趴着	\nbare shoulders,looking at viewer,lying,on stomach,own hands together,smile,solo,upper body,hand on own chin,covering with blanket,sleeveless dress,white dress,
情感动作	蜷身痛哭	\ngarter straps,white thighhigh,blurry foreground,dark environment,from above,curl up in bed,hugging knees,indoors,arm covered eyes,sad crying,wet clothes,white nightdress,rainning outside,overcast sky,neon lights,windows,reflections,neon lights outside the window,raindrops hitting the window at night,
情感动作	原版	\n1girl,ray tracing,medium breasts,sitting on the bartender,garter straps,white thighhigh,blurry,blurry foreground,by rella,dark environment,from above,full body,1girl,solo,curl up in bed,arms around her knees,in room,one of her arm covered her eyes,very sad,she has long and smooth eyelashes,sad crying,tears drop from her face,wet clothes,white nightdress,rainning outside,overcast sky,neon lights,lights,cyberpunk,windows,reflections,reflections,neon lights outside the window,raindrops hitting the window at night,
情感动作	颓废时刻	\nin a room,large window behind,night,{{black bodysuit,latex bodysuit}},black face mask,pink shirt,open shirt,loose shirt,white socks,black loafers,sitting on floor,holding beer can,looking at viewer,take drugs,psychedelic,cocaine,pinhead,pill,bags under eyes,pale skin,empty eyes,hand on knee,clothes pull,grin,one eye closed,scar,
情感动作	伏案睡觉	\ncrossed arms,desk,indoors,lamp,pen,sitting,{sleeping},closed eyes,head down,
情感动作	得意摄影	\nlens flare,{movie poster},school uniform,sleeves past wrists,open collar,loose bowtie,looking at viewer,dutch angle,earrings,half-closed eyes,:d,naughty face,skin fang,upper body,open shirt,
情感动作	抱着枕头来一起睡	\nindoors,closed mouth,off shoulder,dress,window,{peeking out},frills,puffy long sleeves,door,holding pillow,night,standing,
情感动作	情人节礼物递交	\nblush,jacket,shorts,box,dated,finger to mouth,gift,happy valentine,heart-shaped box,incoming gift,jewelry,looking at viewer,neckerchief,open mouth,shushing,solo,upper body,valentine,
情感动作	情书递送	\nblush,hair ribbon,heart,long sleeves,looking at viewer,covered mouth,{{one hand holding a love letter}}},upper body,pink background,
情感动作	其他版本	\ncherry blossoms,1girl,solo focus,1boy,{{shy,nervous,blush,close mouth}},black ribbon,white serafuku,sailor dress,black sailor collar,open door,giving a love letter to viewer,holding a love letter,cowboy shot,room,door,pov hand,pov hand on door,bokeh,sunlight,light and shadow,outstretched arm,
情感动作	女仆鞋子调整	\n{{from side,close-up}},looking back,looking to the side,{{standing}},bent over,stepped on,{{adjusting footwear,feet on chair,{{{stepped on,knee up,knee up}}}}},{{hand on own hip}},foot out of frame, maid,victorian maid,lace-trimmed apron,black dress,{{black thighhighs,garter straps}},thick thighs,frilled thighhighs,dress,high heels,maid headdress,footwear,lace trim,in door,window,potted plant,
情感动作	女仆衣物穿着	\nclose-up,tying hair,dressing,closed eyes,maid,bow,white panties,maid headdress,long sleeves,garter belt,blush,juliet sleeves,bow panties,undressing,tying,side-tie panties,mouth hold,apron,no shoes,white thighhighs,white bow,
情感动作	猫咪卖萌	\n{white panties,cameltoe,see-through silhouette},knees together,claw pose,:3,blush,
情感动作	沙滩伸手邀请	\n;3,armpits,bubble tea,cleavage,disposable cup,drinking straw,holding cup,looking at viewer,one eye closed,outstretched arm,reaching towards viewer,smile,sunglasses,white vertical-striped dress,
